Title,Link_film,Rating,Image,Genre,Summary,Budget,Gross_us,Opening_week_rev,Opening_week_date,Gross_world,Runtime,Color,Sound_mix,Aspect_ratio,,
Kong: Skull Island,https://www.imdb.com/title/tt3731562/?ref_=watch_tpks_tt_t_15_pd_tp1_pbr_ic,6.7,Kong Skull Island.jpg,"Action, Adventure, Fantasy","After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong and must fight to escape a primal Eden.",185000000,168052812,61025472,2017-03-12 00:00:00,568652812,118,Color,"Dolby Digital, IMAX 6-Track, Dolby Atmos, Dolby Surround 7.1, Auro 11.1",2.39 : 1,,
Damsel,https://www.imdb.com/title/tt13452446/?ref_=watch_tpks_tt_t_16_pd_tp1_pbr_ic,6.1,Damsel.jpg,"Action, Adventure, Fantasy","A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt.",70000000,148753631.9,47359673,1900-01-01 00:00:00,425309654,110,Color,Dolby Atmos,2.39 : 1,,
Shin Godzilla,https://www.imdb.com/title/tt4262980/?ref_=watch_tpks_tt_t_17_pd_tp1_pbr_ic,6.8,Shin Godzilla.jpg,"Action, Drama, Horror",Japan is plunged into chaos upon the appearance of a giant monster.,108388068.2,1918403,458342,2016-10-16 00:00:00,78053145,120,Color,-,2.39 : 1,,
Late Night with the Devil,https://www.imdb.com/title/tt14966898/?ref_=watch_tpks_tt_t_18_pd_tp1_pbr_ic,7.1,Late Night with the Devil.jpg,Horror,"A live television broadcast in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.",108388068.2,9964512,2834867,2024-03-24 00:00:00,12000477,93,Black and White,-,2.35 : 1,,
Megalopolis,https://www.imdb.com/title/tt10128846/?ref_=watch_tpks_tt_t_19_pd_tp1_pbr_ic,6.9,Megalopolis.jpg,"Drama, Sci-Fi",An architect wants to rebuild New York City as a utopia following a devastating disaster.,100000000,148753631.9,47359673,1900-01-01 00:00:00,425309654,138,Color,"Dolby Digital, IMAX 6-Track",2.00 : 1,,
Monarch: Legacy of Monsters,https://www.imdb.com/title/tt17220216/?ref_=watch_tpks_tt_t_20_pd_tp1_pbr_ic,7.0,Monarch Legacy of Monsters.jpg,"Action, Adventure, Sci-Fi","Set after the battle between Godzilla and the Titans, revealing that monsters are real, follows one family's journey to uncover its buried secrets and a legacy linking them to Monarch.",108388068.2,148753631.9,47359673,1900-01-01 00:00:00,425309654,129,Color,-,16 : 9,,
Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/?ref_=watch_tpks_tt_t_21_pd_tp1_pbr_ic,8.1,Mad Max Fury Road.jpg,"Action, Adventure, Sci-Fi","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.",150000000,154280290,45428128,2015-05-17 00:00:00,380418444,120,Color,"Dolby Digital, Datasat, SDDS, Dolby Atmos",2.39 : 1,,
King Kong,https://www.imdb.com/title/tt0360717/?ref_=watch_tpks_tt_t_22_pd_tp1_pbr_ic,7.2,King Kong.jpg,"Action, Adventure, Romance","A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",207000000,218080025,50130145,2005-12-18 00:00:00,556906378,187,Color,"Dolby Digital EX, SDDS, DTS-ES, Dolby Stereo, Dolby Digital",2.39 : 1,,
Dune,https://www.imdb.com/title/tt1160419/?ref_=watch_tpks_tt_t_23_pd_tp1_pbr_ic,8.0,Dune.jpg,"Action, Adventure, Drama",A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,165000000,108897830,41011174,2021-10-24 00:00:00,407573628,155,Color,"Auro 11.1, Dolby Surround 7.1, Dolby Atmos, Dolby Digital, IMAX 6-Track",2.39 : 1,,
Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/?ref_=watch_tpks_tt_t_24_pd_tp1_pbr_ic,8.2,Spider-Man No Way Home.jpg,"Action, Adventure, Fantasy","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",200000000,814866178,260138569,2021-12-19 00:00:00,1922598219,148,Color,"Dolby Atmos, Dolby Digital, Dolby Surround 7.1, IMAX 6-Track",-,,
